Num_acc,Conditions Atmosphériques,Etat Surface,Catégorie Route,Vitesse Maximale Autorisée,Nombre Véhicules Impliqués,Nombre Usagers Impliqués,Date,Conditions Lumineuses,Type Collision
0,,Mouillé,Voie Communale,30.0,,1.0,2022-01-04 09:12:15,,Autre
1,,Sec,,70.0,3.0,,2022-01-25 20:01:54,Nuit,Autre
2,,Mouillé,Voie Communale,30.0,2.0,3.0,2022-01-08 04:01:57,Nuit,Par l'arrière
3,Pluie,,Route Départementale,,,2.0,2022-01-07 08:19:07,Nuit,Par le coté
4,,Mouillé,,90.0,,4.0,2022-01-04 11:57:42,Jour,Par le coté
5,Pluie,,Voie Communale,,1.0,2.0,2022-01-19 07:12:31,Nuit,
6,Normal,,Voie Communale,30.0,,6.0,2022-01-14 06:16:12,Nuit,Par le coté
7,,Sec,,90.0,2.0,3.0,2022-01-26 17:20:32,Jour,Frontale
8,Normal,,Voie Communale,30.0,,2.0,2022-01-27 08:44:57,Jour,Frontale
9,Normal,,,130.0,2.0,4.0,2022-01-02 05:00:18,Nuit,
10,,Sec,Route Nationale,90.0,2.0,,2022-01-26 20:00:21,Nuit,Par l'arrière
11,Normal,Sec,Autoroute,130.0,1.0,,2022-01-05 01:57:59,Nuit,
12,Normal,Sec,Voie Communale,30.0,2.0,,2022-01-26 15:32:27,,Par le coté
13,,Mouillé,,30.0,,,2022-01-09 21:20:58,,Par le coté
14,Normal,Sec,Route Départementale,70.0,,2.0,2022-01-20 07:24:21,Nuit,Par le coté
15,,Sec,Autoroute,,1.0,1.0,2022-01-11 22:25:20,,Autre
16,Normal,Sec,Voie Communale,30.0,2.0,2.0,2022-01-02 10:46:17,Jour,Par l'arrière
17,Normal,,,30.0,,4.0,2022-01-16 15:34:09,,
18,Normal,,Autoroute,,2.0,,2022-01-18 11:40:31,,Par le coté
19,Normal,Sec,,70.0,,,2022-01-16 17:50:29,Nuit,Autre
20,,Sec,,70.0,,1.0,2022-01-15 23:42:30,Nuit,
21,Normal,Sec,Voie Communale,30.0,2.0,2.0,2022-01-25 20:09:58,Nuit,Par l'arrière
22,Normal,Sec,,70.0,,4.0,2022-01-17 21:40:46,Nuit,Autre
23,Normal,,,130.0,2.0,,2022-01-10 11:47:05,,Frontale
24,Normal,,Voie Communale,30.0,,7.0,2022-01-28 16:20:21,Jour,Autre
25,Normal,,Voie Communale,30.0,2.0,,2022-01-10 21:59:46,Nuit,
26,Normal,Sec,Voie Communale,,2.0,,2022-01-22 09:48:53,Jour,Frontale
